"DATUM","TYP","VOM KONTO","ZUM KONTO / ZUR KATEGORIE","BETRAG","WÄHRUNG","BETRAG 2","WÄHRUNG 2","BEZEICHNUNGEN","NOTIZEN"
"13.02.19","Ausgabe","Girokarte","Lebensmittel","14.67","EUR","14.67","EUR","",""
"12.02.19","Ausgabe","Girokarte","Freizeit","10","EUR","10","EUR","","Co olympiade"
"12.02.19","Ausgabe","Girokarte","Lebensmittel","2.6","EUR","2.6","EUR","",""
"11.02.19","Ausgabe","Girokarte","Lebensmittel","6.07","EUR","6.07","EUR","",""
"11.02.19","Ausgabe","Girokarte","Lebensmittel","21.79","EUR","21.79","EUR","",""
"09.02.19","Ausgabe","Girokarte","Freizeit","21","EUR","21","EUR","",""
"09.02.19","Ausgabe","Girokarte","Lebensmittel","5.79","EUR","5.79","EUR","",""
"09.02.19","Ausgabe","Girokarte","Allgemein","8.9","EUR","8.9","EUR","","München Tagesticket be.boosted"
"08.02.19","Ausgabe","Girokarte","Freizeit","23","EUR","23","EUR","",""
"08.02.19","Ausgabe","Girokarte","Freizeit","5.19","EUR","5.19","EUR","",""
"08.02.19","Ausgabe","Girokarte","Weiterbildung","18.9","EUR","18.9","EUR","",""
"07.02.19","Ausgabe","Girokarte","Lebensmittel","6.42","EUR","6.42","EUR","",""
"06.02.19","Ausgabe","Girokarte","Lebensmittel","8.03","EUR","8.03","EUR","",""
"06.02.19","Ausgabe","Girokarte","Allgemein","6.99","EUR","6.99","EUR","","Budget app"
"06.02.19","Ausgabe","Girokarte","Abonnenements ","7.99","EUR","7.99","EUR","",""
"06.02.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.02.19","Ausgabe","Girokarte","Abonnenements ","9.99","EUR","9.99","EUR","",""
"06.02.19","Ausgabe","Girokarte","Abonnenements ","14.99","EUR","14.99","EUR","",""
"06.02.19","Ausgabe","Girokarte","Schulden","65","EUR","65","EUR","",""
"05.02.19","Ausgabe","Girokarte","Miete","60","EUR","60","EUR","","Nebenkosten"
"05.02.19","Ausgabe","Girokarte","Miete","232","EUR","232","EUR","","Miete"
"04.02.19","Ausgabe","Girokarte","Freizeit","2.7","EUR","2.7","EUR","",""
"04.02.19","Ausgabe","Girokarte","Weiterbildung","2.5","EUR","2.5","EUR","","Druckerkarte"
"03.02.19","Ausgabe","Girokarte","Lebensmittel","35.35","EUR","35.35","EUR","",""
"03.02.19","Ausgabe","Girokarte","Weiterbildung","8.99","EUR","8.99","EUR","","7hohep"
"03.02.19","Ausgabe","Girokarte","Weiterbildung","9.9","EUR","9.9","EUR","","Chinesischbuch"
,
,
"NAME","SALDO","WÄHRUNG"
"Girokarte","-8307.12","EUR"
"Bargeld","0","EUR"
,
